,Sentences,Label
157,unfortunately must hit bakery leftover day everything ordered stale,0
158,came back today since relocated still impressed,0
159,seated immediately,1
160,menu diverse reasonably priced,1
161,avoid cost,0
162,restaurant always full never wait,1
163,delicious,1
164,place hands one best places eat phoenix metro area,1
165,go looking good food,0
166,never treated bad,0
167,bacon hella salty,1
168,also ordered spinach avocado salad ingredients sad dressing literally zero taste,0
169,really vegas fine dining used right menus handed ladies prices listed,1
170,waitresses friendly,1
171,lordy khao soi dish missed curry lovers,1
172,everything menu terrific also thrilled made amazing accommodations vegetarian daughter,1
173,perhaps caught night judging reviews inspired go back,0
174,service leaves lot desired,0
175,atmosphere modern hip maintaining touch coziness,1
176,weekly haunt definitely place come back every,1
177,literally sat minutes one asking take order,0
178,burger absolutely flavor meat totally bland burger overcooked charcoal flavor,0
179,also decided send back waitress looked like verge heart attack,0
180,dressed treated rudely,0
181,probably dirt,0
182,love place hits spot want something healthy lacking quantity flavor,1
183,ordered lemon raspberry ice cocktail also incredible,1
184,food sucked expected sucked could imagined,0
185,interesting decor,1
186,really like crepe station,1
187,also served hot bread butter home made potato chips bacon bits top original good,1
188,watch preparing delicious food,1
189,egg rolls fantastic,1
190,order arrived one gyros missing,0
191,salad wings ice cream dessert left feeling quite satisfied,1
192,really sure joey voted best hot dog valley readers phoenix magazine,0
193,best place go tasty bowl pho,1
194,live music fridays totally blows,0
195,never insulted felt disrespected,0
196,friendly staff,1
197,worth drive,1
198,heard good things place exceeding every hope could dreamed,1
199,food great serivce,1
200,warm beer help,0
201,great brunch spot,1
202,service friendly inviting,1
203,good lunch spot,1
204,lived since first last time stepped foot place,0
205,worst experience ever,0
206,must night place,0
207,sides delish mixed mushrooms yukon gold puree white corn beateous,1
208,bug never showed would given sure side wall bug climbing kitchen,0
209,minutes waiting salad realized coming time soon,0
210,friend loved salmon tartar,1
211,go back,0
212,extremely tasty,1
213,waitress good though,1
214,soggy good,0
215,jamaican mojitos delicious,1
216,small worth price,0
217,shower area outside rinse take full shower unless mind nude everyone see,0
218,service bit lacking,0
219,lobster bisque bussell sprouts risotto filet needed salt pepper course none tables,0
220,hopefully bodes going business someone cook come,0
221,either cold enough flavor bad,0
222,loved bacon wrapped dates,1
223,unbelievable bargain,1
224,folks otto always make us feel welcome special,1
225,mains also uninspired,0
226,place first pho amazing,1
227,wonderful experience made place must stop whenever town,1
228,food bad enough enjoy dealing world worst annoying drunk people,0
229,fun chef,1
230,ordered double cheeseburger got single patty falling apart picture uploaded yeah still sucks,0
231,great place couple drinks watch sporting events walls covered tv,1
232,possible give zero stars,0
233,descriptions said yum yum sauce another said eel sauce yet another said spicy mayo well none rolls sauces,0
234,say would hardest decision honestly dishes taste supposed taste amazing,1
235,rolled eyes may stayed sure go back try,0
236,everyone attentive providing excellent customer service,1
237,horrible waste time money,0
238,dish quite flavourful,1
239,time side restaurant almost empty excuse,0
240,busy either also building freezing cold,0
241,like reviewer said pay eat place,0
242,drinks took close minutes come one point,0
243,seriously flavorful delights folks,1
244,much better ayce sushi place went vegas,1
245,lighting dark enough set mood,1
246,based sub par service received effort show gratitude business going back,0
247,owner really great people,1
248,nothing privileged working eating,0
249,greek dressing creamy flavorful,1
250,overall think would take parents place made similar complaints silently felt,0
251,pizza good peanut sauce tasty,1
252,table service pretty fast,1
253,fantastic service,1
254,well would given godfathers zero stars possible,0
255,know make,1
256,tough short flavor,0
257,hope place sticks around,1
258,bars vegas ever recall charged tap water,0
259,restaurant atmosphere exquisite,1
260,good service clean inexpensive boot,1
261,seafood fresh generous portion,1
262,plus bucks,1
263,service par either,0
264,thus far visited twice food absolutely delicious time,1
265,good year ago,1
266,self proclaimed coffee cafe wildly disappointed,0
267,veggitarian platter world,1
268,cant go wrong food,1
269,beat,1
270,stopped place madison ironman friendly kind staff,1
271,chefs friendly good job,1
272,better dedicated boba tea spots even jenni pho,0
273,liked patio service outstanding,1
274,goat taco skimp meat wow flavor,1
275,think,0
276,mac salad pretty bland getting,0
277,went bachi burger friend recommendation disappointed,1
278,service stinks,0
279,waited waited,0
280,place quality sushi quality restaurant,0
281,would definitely recommend wings well pizza,1
282,great pizza salads,1
283,things went wrong burned saganaki,0
284,waited hour breakfast could done times better home,0
285,place amazing,1
286,hate disagree fellow yelpers husband disappointed place,0
287,waited hours never got either pizzas many around us came later,0
288,know slow,0
289,staff great food delish incredible beer selection,1
290,live neighborhood disappointed back convenient location,0
291,know pulled pork could soooo delicious,1
292,get incredibly fresh fish prepared care,1
293,go gave star rating please know third time eating bachi burger writing review,0
294,love fact everything menu worth,1
295,never dining place,0
296,food excellent service good,1
297,good beer drink selection good food selection,1
298,please stay away shrimp stir fried noodles,0
299,potato chip order sad could probably count many chips box probably around,0
300,food really boring,0
301,good service check,1
302,greedy corporation never see another dime,0
303,never ever go back,0
304,much like go back get passed atrocious service never return,0
305,summer dine charming outdoor patio delightful,1
306,expect good,1
307,fantastic food,1
308,ordered toasted english muffin came untoasted,0
309,food good,1
310,never going back,0
311,great food price high quality house made,1
312,bus boy hand rude,0
313,point friends basically figured place joke mind making publicly loudly known,0
314,back good bbq lighter fare reasonable pricing tell public back old ways,1
315,considering two us left full happy go wrong,1
316,bread made house,1
317,downside service,0
318,also fries without doubt worst fries ever,0
319,service exceptional food good reviews,1
320,couple months later returned amazing meal,1
321,favorite place town shawarrrrrrma,1
322,black eyed peas sweet potatoes unreal,1
323,disappointed,1
324,could serve vinaigrette may make better overall dish still good,1
325,go far many places never seen restaurant serves egg breakfast especially,0
326,mom got home immediately got sick bites salad,0
327,servers pleasant deal always honor pizza hut coupons,0
328,truly unbelievably good glad went back,1
329,fantastic service pleased atmosphere,1
330,everything gross,0
331,love place,1
332,great service food,1
333,first bathrooms location dirty seat covers replenished plain yucky,0
334,burger got gold standard burger kind disappointed,0
335,omg food delicioso,1
336,nothing authentic place,0
337,spaghetti nothing special whatsoever,0
338,dishes salmon best great,1
339,vegetables fresh sauce feels like authentic thai,1
340,worth driving tucson,1
341,selection probably worst seen vegas none,0
342,pretty good beer selection,1
343,place like chipotle better,1
344,classy warm atmosphere fun fresh appetizers succulent steaks baseball steak,1
345,stars brick oven bread app,1
346,eaten multiple times time food delicious,1
347,sat another ten minutes finally gave left,0
348,terrible,0
349,everyone treated equally special,1
350,take min pancakes eggs,0
351,delicious,1
352,good side staff genuinely pleasant enthusiastic real treat,1
353,sadly gordon ramsey steak place shall sharply avoid next trip vegas,0
354,always evening wonderful food delicious,1
355,best fish ever life,1
356,bathroom next door nice,1
357,buffet small food offered bland,0
358,outstanding little restaurant best food ever tasted,1
359,pretty cool would say,1
360,definitely turn doubt back unless someone else buying,0
361,server great job handling large rowdy table,1
362,find wasting food despicable food,0
363,wife lobster bisque soup lukewarm,0
364,would come back sushi craving vegas,1
365,staff great ambiance great,1
366,deserves stars,1
367,left stomach ache felt sick rest day,0
368,dropped ball,0
369,dining space tiny elegantly decorated comfortable,1
370,customize order way like usual eggplant green bean stir fry love,1
371,beans rice mediocre best,0
372,best tacos town far,1
373,took back money got outta,0
374,interesting part town place amazing,1
375,rude inconsiderate management,0
376,staff friendly wait times served horrible one even says hi first minutes,0
377,back,0
378,great dinners,1
379,service outshining definitely recommend halibut,1
380,food terrible,0
381,never ever go back told many people happened,0
382,recommend unless car breaks front starving,0
383,come back every time vegas,1
384,place deserves one star food,0
385,disgrace,0
386,def coming back bowl next time,1
387,want healthy authentic ethic food try place,1
388,continue come ladies night andddd date night highly recommend place anyone area,1
389,several times past experience always great,1
390,walked away stuffed happy first vegas buffet experience,1
391,service excellent prices pretty reasonable considering vegas located inside crystals shopping mall aria,1
392,summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,1
393,probably one people ever go ians like,0
394,kids pizza always hit lots great side dish options kiddos,1
395,service perfect family atmosphere nice see,1
396,cooked perfection service impeccable,1
397,one simply disappointment,0
398,overall disappointed quality food bouchon,0
399,accountant know getting screwed,0
400,great place eat reminds little mom pop shops san francisco bay area,1
401,today first taste buldogis gourmet hot dog tell ever thought possible,1
402,left frustrated,0
403,definitely soon,1
404,food really good got full petty fast,1
405,service fantastic,1
406,total waste time,0
407,know kind best iced tea,1
408,come hungry leave happy stuffed,1
409,service give stars,0
410,assure disappointed,1
411,take little bad service food sucks,0
412,gave trying eat crust teeth still sore,0
413,completely grossed,0
414,really enjoyed eating,1
415,first time going think quickly become regular,1
416,server nice even though looked little overwhelmed needs stayed professional friendly end,1
417,dinner companions told everything fresh nice texture taste,1
418,ground right next table large smeared stepped tracked everywhere pile green bird poop,0
419,furthermore even find hours operation website,0
420,tried like place times think done,0
421,mistake,0
422,complaints,1
423,seriously good pizza expert connisseur topic,1
424,waiter jerk,0
425,strike wants rushed,0
426,nicest restaurant owners ever come across,1
427,never come,0
428,loved biscuits,1
429,service quick friendly,1
430,ordered appetizer took minutes pizza another minutes,0
431,absolutley fantastic,1
432,huge awkward lb piece cow ths gristle fat,0
433,definitely come back,1
434,like steiners dark feels like bar,1
435,wow spicy delicious,1
436,familiar check,1
437,take business dinner dollars elsewhere,0
438,love go back,1
439,anyway fs restaurant wonderful breakfast lunch,1
440,nothing special,0
441,day week different deal delicious,1
442,mention combination pears almonds bacon big winner,1
443,back,0
444,sauce tasteless,0
445,food delicious spicy enough sure ask spicier prefer way,1
446,ribeye steak cooked perfectly great mesquite flavor,1
447,think going back anytime soon,0
448,food gooodd,1
449,far sushi connoisseur definitely tell difference good food bad food certainly bad food,0
450,insulted,0
451,last times lunch bad,0
452,chicken wings contained driest chicken meat ever eaten,0
453,food good enjoyed every mouthful enjoyable relaxed venue couples small family groups etc,1
454,nargile think great,1
455,best tater tots southwest,1
456,loved place,1
457,definitely worth paid,0
458,vanilla ice cream creamy smooth profiterole choux pastry fresh enough,1
459,im az time new spot,1
460,manager worst,0
461,inside really quite nice clean,1
462,food outstanding prices reasonable,1
463,think running back carly anytime soon food,0
464,due fact took minutes acknowledged another minutes get food kept forgetting things,0
465,love margaritas,1
466,first vegas buffet disappoint,1
467,good though,1
468,one note ventilation could use upgrading,0
469,great pork sandwich,1
470,waste time,0
471,total letdown would much rather go camelback flower shop cartel coffee,0
472,third cheese friend burger cold,0
473,enjoy pizza brunch,1
474,steaks well trimmed also perfectly cooked,1
475,group claimed would handled us beautifully,1
476,loved,1
477,asked bill leave without eating bring either,0
478,place jewel las vegas exactly hoping find nearly ten years living,1
479,seafood limited boiled shrimp crab legs crab legs definitely taste fresh,0
480,selection food best,0
481,delicious absolutely back,1
482,small family restaurant fine dining establishment,1
483,toro tartare cavier extraordinary liked thinly sliced wagyu white truffle,1
484,dont think back long time,0
485,attached gas station rarely good sign,0
486,awesome,1
487,back many times soon,1
488,menu much good stuff could decide,1
489,worse humiliated worker right front bunch horrible name callings,0
490,conclusion filling meals,1
491,daily specials always hit group,1
492,tragedy struck,0
493,pancake also really good pretty large,1
494,first crawfish experience delicious,1
495,monster chicken fried steak eggs time favorite,1
496,waitress sweet funny,1
497,also taste mom multi grain pumpkin pancakes pecan butter amazing fluffy delicious,1
498,rather eat airline food seriously,0
499,cant say enough good things place,1
500,ambiance incredible,1
501,waitress manager friendly,1
502,would recommend place,0
503,overall impressed noca,0
504,gyro basically lettuce,0
505,terrible service,0
506,thoroughly disappointed,0
507,much pasta love homemade hand made pastas thin pizzas,1
508,give try happy,1
509,far best cheesecurds ever,1
510,reasonably priced also,1
511,everything perfect night,1
512,food good typical bar food,1
513,drive get,0
514,first glance lovely bakery cafe nice ambiance clean friendly staff,1
515,anyway think go back,0
516,point finger item menu order disappointed,1
517,oh thing beauty restaurant,1
518,gone go,1
519,greasy unhealthy meal,0
520,first time might last,0
521,burgers amazing,1
522,similarly delivery man say word apology food minutes late,0
523,way expensive,0
524,sure order dessert even need pack go tiramisu cannoli die,1
525,first time wait next,1
526,bartender also nice,1
527,everything good tasty,1
528,place two thumbs way,1
529,best place vegas breakfast check sat sun,1
530,love authentic mexican food want whole bunch interesting yet delicious meats choose need try place,1
531,terrible management,0
532,excellent new restaurant experienced frenchman,1
533,zero stars would give zero stars,0
534,great steak great sides great wine amazing desserts,1
535,worst martini ever,0
536,steak shrimp opinion best entrees gc,1
537,opportunity today sample amazing pizzas,1
538,waited thirty minutes seated although vacant tables folks waiting,0
539,yellowtail carpaccio melt mouth fresh,1
540,try going back even empty,0
541,going eat potato found strangers hair,0
542,spicy enough perfect actually,1
543,last night second time dining happy decided go back,1
544,even hello right,0
545,desserts bit strange,0
546,boyfriend came first time recent trip vegas could pleased quality food service,1
547,really recommend place go wrong donut place,1
548,nice ambiance,1
549,would recommend saving room,1
550,guess maybe went night disgraceful,0
551,however recent experience particular location good,0
552,know like restaurants something,0
553,avoid establishment,0
554,think restaurant suffers trying hard enough,0
555,tapas dishes delicious,1
556,heart place,1
557,salad bland vinegrette baby greens hearts palm,0
558,two felt disgusting,0
559,good time,1
560,believe place great stop huge belly hankering sushi,1
561,generous portions great taste,1
562,never go back place never ever recommended place anyone,0
563,servers went back forth several times even much helped,0
564,food delicious,1
565,hour seriously,0
566,consider theft,0
567,eew location needs complete overhaul,0
568,recently witnessed poor quality management towards guests well,0
569,waited waited waited,0
570,also came back check us regularly excellent service,1
571,server super nice checked us many times,1
572,pizza tasted old super chewy good way,0
573,swung give try deeply disappointed,0
574,service good company better,1
575,staff also friendly efficient,1
576,service fan quick served nice folks,1
577,boy sucker dry,0
578,rated,0
579,look authentic thai food go else,0
580,steaks recommended,1
581,pulled car waited another minutes acknowledged,0
582,great food great service clean friendly setting,1
583,assure back,1
584,hate things much cheap quality black olives,0
585,breakfast perpared great beautiful presentation giant slices toast lightly dusted powdered sugar,1
586,kids play area nasty,0
587,great place fo take eat,1
588,waitress friendly happy accomodate vegan veggie options,1
589,omg felt like never eaten thai food dish,1
590,extremely crumby pretty tasteless,0
591,pale color instead nice char flavor,0
592,croutons also taste homemade extra plus,1
593,got home see driest damn wings ever,0
594,regular stop trips phoenix,1
595,really enjoyed crema caf expanded even told friends best breakfast,1
596,good money,0
597,miss wish one philadelphia,1
598,got sitting fairly fast ended waiting minutes place order another minutes food arrived,0
599,also best cheese crisp town,1
600,good value great food great service,1
601,ask satisfying meal,1
602,food good,1
603,awesome,1
604,wanted leave,0
605,made drive way north scottsdale one bit disappointed,1
606,eating,0
607,owners really really need quit soooooo cheap let wrap freaking sandwich two papers one,0
608,checked place couple years ago impressed,0
609,chicken got definitely reheated ok wedges cold soggy,0
610,sorry getting food anytime soon,0
611,absolute must visit,1
612,cow tongue cheek tacos amazing,1
613,friend like bloody mary,0
614,despite hard rate businesses actually rare give star,0
615,really want make experience good one,1
616,return,0
617,chicken pho tasted bland,0
618,disappointing,0
619,grilled chicken tender yellow saffron seasoning,1
620,drive thru means want wait around half hour food somehow end going make us wait wait,0
621,pretty awesome place,1
622,ambience perfect,1
623,best luck rude non customer service focused new management,0
624,grandmother make roasted chicken better one,0
625,asked multiple times wine list time ignored went hostess got one,0
626,staff always super friendly helpful especially cool bring two small boys baby,1
627,four stars food guy blue shirt great vibe still letting us eat,1
628,roast beef sandwich tasted really good,1
629,evening drastically sick,0
630,high quality chicken chicken caesar salad,1
631,ordered burger rare came done,0
632,promptly greeted seated,1
633,tried go lunch madhouse,0
634,proven dead wrong sushi bar quality great service fast food impeccable,1
635,waiting hour seated greatest moods,0
636,good joint,1
637,macarons insanely good,1
638,eating,0
639,waiter attentive friendly informative,1
640,maybe cold would somewhat edible,0
641,place lot promise fails deliver,0
642,bad experience,0
643,mistake,0
644,food average best,0
645,great food,1
646,going back anytime soon,0
647,disappointed ordered big bay plater,0
648,great place relax awesome burger beer,1
649,perfect sit family meal get together friends,1
650,much flavor poorly constructed,0
651,patio seating comfortable,1
652,fried rice dry well,0
653,hands favorite italian restaurant,1
654,screams legit book somethat also pretty rare vegas,1
655,fun experience,1
656,atmosphere great lovely duo violinists playing songs requested,1
657,personally love hummus pita baklava falafels baba ganoush amazing eggplant,1
658,convenient since staying mgm,1
659,owners super friendly staff courteous,1
660,great,1
661,eclectic selection,1
662,sweet potato tots good onion rings perfection close,1
663,staff attentive,1
664,chef generous time even came around twice take pictures,1
665,owner used work nobu place really similar half price,1
666,google mediocre imagine smashburger pop,0
667,dont go,0
668,promise disappoint,1
669,sushi lover avoid place means,0
670,great double cheeseburger,1
671,awesome service food,1
672,fantastic neighborhood gem,1
673,wait go back,1
674,plantains worst ever tasted,0
675,great place highly recommend,1
676,service slow attentive,0
677,gave stars giving stars,1
678,staff spends time talking,0
679,dessert panna cotta amazing,1
680,good food great atmosphere,1
681,damn good steak,1
682,total brunch fail,0
683,prices reasonable flavors spot sauce home made slaw drenched mayo,1
684,decor nice piano music soundtrack pleasant,1
685,steak amazing rge fillet relleno best seafood plate ever,1
686,good food good service,1
687,absolutely amazing,1
688,probably back honest,0
689,definitely back,1
690,sergeant pepper beef sandwich auju sauce excellent sandwich well,1
691,hawaiian breeze mango magic pineapple delight smoothies tried far good,1
692,went lunch service slow,0
693,much say place walked expected amazing quickly disappointed,0
694,mortified,0
695,needless say never back,0
696,anyways food definitely filling price pay expect,0
697,chips came dripping grease mostly edible,0
698,really impressed strip steak,0
699,going since every meal awesome,1
700,server nice attentive serving staff,1
701,cashier friendly even brought food,1
702,work hospitality industry paradise valley refrained recommending cibo longer,0
703,atmosphere fun,1
704,would recommend others,0
705,service quick even go orders like like,1
706,mean really get famous fish chips terrible,0
707,said mouths bellies still quite pleased,1
708,thing,0
709,thumbs,1
710,reading please go,0
711,loved grilled pizza reminded legit italian pizza,1
712,pros large seating area nice bar area great simple drink menu best brick oven pizza homemade dough,1
713,really nice atmosphere,1
714,tonight elk filet special sucked,0
715,one bite hooked,1
716,ordered old classics new dishes going times sorely disappointed everything,0
717,cute quaint simple honest,1
718,chicken deliciously seasoned perfect fry outside moist chicken inside,1
719,food great always compliments chef,1
720,special thanks dylan recommendation order yummy tummy,1
721,awesome selection beer,1
722,great food awesome service,1
723,one nice thing added gratuity bill since party larger expect tip,1
724,fly apple juice fly,0
725,han nan chicken also tasty,1
726,service thought good,1
727,food barely lukewarm must sitting waiting server bring us,0
728,ryan bar definitely one edinburgh establishment revisiting,0
729,nicest chinese restaurant,1
730,overall like food service,1
731,also serve indian naan bread hummus spicy pine nut sauce world,1
732,probably never coming back recommend,0
733,friend pasta also bad barely touched,0
734,try airport experience tasty food speedy friendly service,1
735,love decor chinese calligraphy wall paper,1
736,never anything complain,1
737,restaurant clean family restaurant feel,1
738,way fried,0
739,sure long stood long enough begin feel awkwardly place,0
740,opened sandwich impressed good way,0
741,back,0
742,warm feeling service felt like guest special treat,1
743,extensive menu provides lots options breakfast,1
744,always order vegetarian menu dinner wide array options choose,1
745,watched prices inflate portions get smaller management attitudes grow rapidly,0
746,wonderful lil tapas ambience made feel warm fuzzy inside,1
747,got enjoy seafood salad fabulous vinegrette,1
748,wontons thin thick chewy almost melt mouth,1
749,level spicy perfect spice whelm soup,1
750,sat right time server get go fantastic,1
751,main thing enjoy crowd older crowd around mid,0
752,side town definitely spot hit,1
753,wait minutes get drink longer get arepas,0
754,great place eat,1
755,jalapeno bacon soooo good,1
756,service poor thats nice,0
757,food good service good prices good,1
758,place clean food oh stale,0
759,chicken dishes ok beef like shoe leather,0
760,service beyond bad,0
761,happy,1
762,tasted like dirt,0
763,one places phoenix would definately go back,1
764,block amazing,1
765,close house low key non fancy affordable prices good food,1
766,hot sour egg flower soups absolutely stars,1
767,sashimi poor quality soggy tasteless,0
768,great time family dinner sunday night,1
769,food tasty say real traditional hunan style,0
770,bother slow service,0
771,flair bartenders absolutely amazing,1
772,frozen margaritas way sugary taste,0
773,good ordered twice,1
774,nutshell restaraunt smells like combination dirty fish market sewer,0
775,girlfriend veal bad,0
776,unfortunately good,0
777,pretty satifying experience,1
778,join club get awesome offers via email,1
779,perfect someone likes beer ice cold case even colder,1
780,bland flavorless good way describing barely tepid meat,0
781,chains fan beat place easily,0
782,nachos must,1
783,coming back,0
784,many words say place everything pretty well,1
785,staff super nice quick even crazy crowds downtown juries lawyers court staff,1
786,great atmosphere friendly fast service,1
787,received pita huge lot meat thumbs,1
788,food arrives meh,0
789,paying hot dog fries looks like came kid meal wienerschnitzel idea good meal,0
790,classic maine lobster roll fantastic,1
791,brother law works mall ate day guess sick night,0
792,good going review place twice hereas tribute place tribute event held last night,1
793,chips salsa really good salsa fresh,1
794,place great,1
795,mediocre food,0
796,get inside impressed place,1
797,super pissd,0
798,service super friendly,1
799,sad little vegetables overcooked,0
800,place nice surprise,1
801,golden crispy delicious,1
802,high hopes place since burgers cooked charcoal grill unfortunately taste fell flat way flat,0
803,could eat bruschetta day devine,1
804,single employee came see ok even needed water refill finally served us food,0
805,lastly mozzarella sticks best thing ordered,1
806,first time ever came amazing experience still tell people awesome duck,1
807,server negligent needs made us feel unwelcome would suggest place,0
808,service terrible though,0
809,place overpriced consistent boba really overpriced,0
810,packed,0
811,love place,1
812,say desserts yummy,1
813,food terrible,0
814,seasonal fruit fresh white peach puree,1
815,kept getting worse worse officially done,0
816,place honestly blown,0
817,definitely would eat,0
818,waste money,0
819,love put food nice plastic containers opposed cramming little paper takeout boxes,1
820,cr pe delicate thin moist,1
821,awful service,0
822,ever go,0
823,food quality horrible,0
824,price think place would much rather gone,0
825,service fair best,0
826,love sushi found kabuki priced hip services,0
827,favor stay away dish,0
828,poor service,0
829,one table thought food average worth wait,0
830,best service food ever maria server good friendly made day,1
831,excellent,1
832,paid bill tip felt server terrible job,0
833,lunch great experience,1
834,never bland food surprised considering article read focused much spices flavor,0
835,food way overpriced portions fucking small,0
836,recently tried caballero back every week since,1
837,bucks head really expect better food,0
838,food came good pace,1
839,ate twice last visit especially enjoyed salmon salad,1
840,back,0
841,could believe dirty oysters,0
842,place deserves stars,0
843,would recommend place,0
844,fact going round stars awesome,1
845,disbelief dish qualified worst version foods ever tasted,0
846,bad day low tolerance rude customer service people job nice polite wash dishes otherwise,0
847,potatoes great biscuit,1
848,probably would go,0
849,flavorful perfect amount heat,1
850,price reasonable service great,1
851,wife hated meal coconut shrimp friends really enjoy meals either,0
852,fella got huevos rancheros look appealing,0
853,went happy hour great list wines,1
854,may say buffet pricey think get pay place getting quite lot,1
855,probably coming back,0
856,worst food service,0
857,place pretty good nice little vibe restaurant,1
858,talk great customer service course back,1
859,hot dishes hot cold dishes close room temp watched staff prepare food bare hands gloves everything deep fried oil,0
860,love fries beans,1
861,always pleasure dealing,1
862,plethora salads sandwiches everything tried gets seal approval,1
